"MONTH" "YEAR" "ave_precip_mo" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 1974 18.6666666666667 26.5 0 0 0 "MF" 1974
1 1975 12.3 27 0 0 0 "MF" 1975
1 1977 30.5 26.5 0 0 0 "MF" 1977
1 1978 9.9 28 0 0 0 "MF" 1978
1 1979 2.375 27.65625 0 0 0 "MF" 1979
1 1980 4.12 27.7 0 0 0 "MF" 1980
1 1981 3.19090909090909 27.1818181818182 0 0 0 "MF" 1981
1 1982 0 29.3 0 0 0 "MF" 1982
1 1983 17.5666666666667 27.5 0 0 0 "MF" 1983
1 1984 9.15714285714286 27.2035714285714 0 0 0 "MF" 1984
1 1985 1.57692307692308 27.4807692307692 0 0 0 "MF" 1985
1 1986 20.4416666666667 26.9416666666667 0 0 0 "MF" 1986
1 1987 8.81111111111111 27.6 0 0 0 "MF" 1987
1 1988 17.1333333333333 27.9583333333333 0 0 0 "MF" 1988
1 1989 9.35 26.7535714285714 0 0 0 "MF" 1989
1 1990 15.42 26.585 0 0 0 "MF" 1990
1 1991 9.15 27.2916666666667 0 0 0 "MF" 1991
1 1992 5.2625 27.61875 0 0 0 "MF" 1992
1 1993 8.15714285714286 27.5214285714286 0 0 0 "MF" 1993
1 1994 6.45 27.61875 0 0 0 "MF" 1994
1 1995 12.57 27.765 0 0 0 "MF" 1995
1 1996 15.9117647058824 27.5205882352941 0 0 0 "MF" 1996
1 1997 2.20769230769231 28.35 0 0 0 "MF" 1997
1 1998 4.83846153846154 28.4461538461538 0 0 0 "MF" 1998
1 2000 21.5 27.6333333333333 0 0 0 "MF" 2000
1 2001 2.08333333333333 28.5083333333333 0 0 0 "MF" 2001
1 2002 9.9 27.94 0 0 0 "MF" 2002
1 2003 0.5625 28.1375 0 0 0 "MF" 2003
1 2004 22.8571428571429 28.3214285714286 0 0 0 "MF" 2004
1 2005 14.2555555555556 28.0944444444444 0 0 0 "MF" 2005
1 2006 28.7 26.9833333333333 0 0 0 "MF" 2006
1 2007 6.75882352941176 28.4588235294118 0 0 0 "MF" 2007
1 2008 10.3428571428571 28.4071428571429 0 0 0 "MF" 2008
1 2009 15.1133333333333 28.19 0 0 0 "MF" 2009
1 2010 11.2368421052632 28.4289473684211 0 0 0 "MF" 2010
1 2011 8.705 27.84 0 0 0 "MF" 2011
1 2012 6.67857142857143 28.7428571428571 0 0 0 "MF" 2012
1 2013 1.78181818181818 29.1977272727273 0 0 0 "MF" 2013
1 2014 8.44 28.1 0 0 0 "MF" 2014
1 2015 20.6 28.35 0 0 0 "MF" 2015
1 2016 14.6230769230769 29.1692307692308 0 0 0 "MF" 2016
1 2017 4.80909090909091 28.4409090909091 0 0 0 "MF" 2017
1 2018 16.5444444444444 27.8111111111111 0 0 0 "MF" 2018
1 2019 5.44 28.73 0 0 0 "MF" 2019
2 1974 12.1 26.7777777777778 0 0 0 "MF" 1974
2 1978 1.82 27.7 0 0 0 "MF" 1978
2 1979 10.8285714285714 27.2857142857143 0 0 0 "MF" 1979
2 1980 3.58888888888889 27.5 0 0 0 "MF" 1980
2 1981 19.5 27.625 0 0 0 "MF" 1981
2 1982 2.63333333333333 27.7 0 0 0 "MF" 1982
